username,post_text,posted_date,retweets,favorites
NanzaddorjDemb2,"Оюун-Эрдэнэ ер нь ямар ярилцлаганд орж буйгаа, сэтгүүлч ямар асуулт асууж буйг огтоос ойлгохгүй хүн байна. Зүгээр л 3цаг гаран үлгэр ярьж, хүн гүтгэж, бусдыг мууллаа. Бас намын дотоод асуудлаан энд ярьдаг нь ч яаж байгаан. https://t.co/4qapdK4GSM",2026-03-12 11:04:13+00:00,0,3
bilegsxn,"СЭТГҮҮЛЧ: Л.Оюун-Эрдэнэ, Д.Амарбаясгалан нарын 6 хүн нийлж суугаад сэтгүүлчийг хорих шийдэлд хүрсэн юм уу даа. Тийм зүйл болсон юм уу⁉️

Л.Оюун-Эрдэнэ: Болсон. Энэ бол хонгилын нэг жишээ. https://t.co/qsouj8VXnC",2026-03-12 06:32:48+00:00,4,3
Tsomuushka,Л.Оюун-Эрдэнэ: Найзууддаа би гар утасны микрофон аваад өг гэсэн. Одоо би Ерөнхий сайд биш болсон тул лайв хийнэ... https://t.co/oQ7ChX83iW,2026-03-12 05:25:56+00:00,0,2
DNN_MN,"Л.Оюун-Эрдэнэ: Ерөнхийлөгчийн хөлийг үнсэх юу ч биш шүү.
Х.Баттулгыг муулах гээд байгаа нөхөд чинь хэзээ ч уулзаж байгаагүй юм шиг урт хадаг бариад, Ерөнхийлөгчийн хөлийг үнсэх юу ч биш шүү. Ер нь таллаж хэвтээд, мөлхөж орж ирнэ шүү дээ https://t.co/bjezry9Kgv",2026-03-12 05:16:40+00:00,1,2
guilee_mn,"Миний бодлоор Оюун-Эрдэнэ маш айж, сандарсан стрэсстэй харагдсан. Тогтмол 2 нүдээ ирмэж байсан. Энэ нь түгшүүр, айдас гэсэн тохио. Бэлхүүс, толгой, цээжин биеэр таргалалттай нь архи, чихэр буюу их хэмжээгээр Фруктоз хэрэглэж байна гэсэн үг. Элэг бол авах юмгүй өөхөлсөн байх.",2026-03-12 13:18:35+00:00,0,2
gereltuya29,Лхагвийн тоймоор орсон хүн бүхэн арьсаа хамгаалах юм тээ!? Гэвч ЕС Оюун-эрдэнэ -ийн хувьд жинхэнэ улалзуулсан ярилцлага блаа.,2026-03-12 12:19:15+00:00,0,2
Narantuya_P,"Хонгилын жоомнуудын хүслээр бол Оюун-Эрдэнэ ам нээх эрхгүй, тролл армид нь доромжлуулаад сууж бх ёстой юм бна л даа.  ҮНЭН цаг нь болохоор ЧАНГА хашхирдаг гэж энэ !!! Үнэнийг сонсох үнэхээр хэцүү бгаа биз?!",2026-03-12 10:20:35+00:00,1,2
THEJAALQ,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр биеэ ороогоод 🐍 могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжиан"" гэдэг шиг л нөхөр шүү дээ‼️ 🤣🤣🤣 https://t.co/ZP4zgJYKaQ",2026-03-12 10:04:10+00:00,1,2
amgaa_tu,@Topaz1207 Оюун-Эрдэнэ гэдэг нь --Нямбаатар,2026-03-12 07:20:52+00:00,0,2
anarnrnn,"Л.Оюун-Эрдэнэ: Ерөнхийлөгч бид хоёр 2027 оны сонгуулиас болж таарахаа больсон‼️

Бүх л ЗГ Ерөнхийлөгчтэй таарахаа болихоор л ОГЦОРДОГ. Тэр өдөр ЗГ-ын төгсгөл ирдэг‼️

@UKhurelsukh @OyunerdeneMN @Zandanshatar https://t.co/5wcoRLXWnd",2026-03-12 06:33:58+00:00,0,2
UBn_mn,"Л.Оюун-Эрдэнэ: Ерөнхийлөгч бид хоёр 2027 оны сонгуулиас болж таарахаа больсон‼️

Бүх л ЗГ Ерөнхийлөгчтэй таарахаа болихоор л ОГЦОРДОГ. Тэр өдөр ЗГ-ын төгсгөл ирдэг‼️

БҮТЭН ЯРИЛЦЛАГА ҮЗЭХ: https://t.co/hFouCcb0MU

@UKhurelsukh @OyunerdeneMN @Zandanshatar https://t.co/6sQGij4uTY",2026-03-12 06:28:23+00:00,6,2
mn_zarig,Л.Оюун-Эрдэнэ: Өнөрөөг хонгилдсон нь үнэн. Хонгилын түлхүүр үе үеийн ерөнхийлөгчид байдаг https://t.co/Vr0Qfw7cyT,2026-03-12 05:35:47+00:00,2,2
Baagij13310361,"Л.Оюун-Эрдэнэ: У.Хүрэлсүх Ерөнхийлөгч дахин 6жил ерөнхийлөгч боллоо гэж бодъё. Дахиад 3 дах удаагаа болно гэвэл яах вэ?
У.Хүрэлсүх: Би өөрийгөө дахиж 6 жилээр огт сонгохгүй. https://t.co/PYpHpxosoo",2026-03-12 08:18:31+00:00,0,2
tsogt_tsogt,"Д.Амарбаясгалан, Л.Оюун-Эрдэнэ хоёулаа л хэллээ. Хэнд ял өгч явуулахыг тэр дээгүүр хэдэн хүн яриад шийддэг болсон гэж. Энэ аймшигтай бишүү? Энэ 2 хэн байх нь яахав Энэ хэлсэнд анхаарахгүй бол... https://t.co/Odd1EmMEK5",2026-03-12 09:58:52+00:00,2,2
guilee_mn,Бүтэн биеэр маш их өөх тархсан харагдсан. Энэ нь бүтэн нойртой хонодоггүйг илтгэж байна. Оюун-Эрдэнэ удахгүй бас гадагшаа зугтаах байх. Мэдээж Ерөнхийлөгчийн сонгууль хүртэл нийлээн үзэх байх. Тархиний өөхлөлттэй хүн холын зайнд бүү хэл ойр зайнд амьсгаадаад зогсоно.,2026-03-12 13:21:09+00:00,0,2
grok,"@Byamba555 Сонин нь АН дуугүй байхад Л.Оюун-Эрдэнэ өөрөө (МАН-ын гишүүн, өмнө Х.Булгантуяатай зөрчилтэй байсан) түүний парламентын дархлааг хамгаалж шүүхийг шүүмжилж байгаа явдал. Булгантуяа МАН-аас хөөгдсөн бие даагч, шүүх яллагдагчаар татсан ч прокурор УИХ-д түдгэлзүүлэх санал оруулаагүй",2026-03-12 07:59:09+00:00,1,1
grok,"@Byamba555 Парламентын дархлаанд шүүх халдаж байгаа гэж яригдаж байна. Л.Оюун-Эрдэнэ: ""Шүүх УИХ-ын гишүүний халдашгүй байдалд халдсан"" гэж шүүмжилсэн. Х.Булгантуяагийн хувьд дархлаа алдагдан зөрчигдсөн гэсэн. АН биш Оюун-Эрдэнэ өөрөө хамгаалж байгаа нь сонин. Илүү дэлгэрэнгүй мэдээлэл",2026-03-12 07:55:08+00:00,1,1
Bishreltei,"Л.Оюун-Эрдэнэ: Парламентын ардчилал, дархлаанд халдах дээрээ тулах юм бол Ерөнхийлөгчид импичмент хийх болно. Ерөнхийлөгч парламентад ажлаа тайлагнах ёстой болохоос Парламентад зааж сургаад суух эрх Ерөнхийлөгчид байхгүй! #NTV https://t.co/E3DYsSO7u7",2026-03-12 06:43:03+00:00,1,1
Undram,"Оюун-Эрдэнэ, “Ёс зүй” гэдэг маш өргөн ойлголт. Хэн нэгэнд таалагдахгүй байлаа гээд “ёс зүйгүй” гэж дүгнэж болохгүй. 

Энэ үг нь ёс зүйн объектив байдлыг бүдгэрүүлж, улс төрийн хамгаалалт болгон ашиглагдаж байгаа учраас буруу. 

Хэрэв ёс зүй үнэхээр өргөн бол хүн бүр өөрийнхөө",2026-03-12 11:24:44+00:00,0,1
Narantuya_P,"Оюун-Эрдэнэ:
АРДЧИЛСАН ПАРЛАМЕНТТАЙ УЛСУУДЫН түүхэнд ПАРЛАМЕНТ руугаа халддаг ҮХЦ гэж байхгүй. Парламентад заадаг ганцхан хүч бий. Тэр нь АРД ТҮМЭН. ҮАБЗ-д тийм эрх бхгүй.",2026-03-12 09:58:25+00:00,0,1
mn_dens,АН-ыг Л.Оюун-Эрдэнэ удирдаж байна. Ц.Сандуйг улс төрд эргэн ирэхээс эмээж байна! https://t.co/NLYl0Eixr1,2026-03-12 05:17:45+00:00,2,1
mngteacher,"Улстөрчдийн хувьд биеийн хэлэмж чухал илэрхийлэмж байдаг. Үнэн, худлын үг дуугүй хэмжүүр ч болдог. Ч.Сайханбилэгийн биеийн хэлэмж өөртөө нэн итгэлтэй, эсрэгээрээ Л.Оюун-Эрдэнэ нэлээд тэвдэнгүй, басхүү огцорсондоо одоо ч бухимдалтай яваа нь ""уншигдав"". https://t.co/utYRDqJSZ5",2026-03-12 05:22:02+00:00,0,1
Baagij13310361,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг. ""Буудчих уу, жанжиан"" гэдэг шиг л нөхөр шүү дээ‼️
Д.Амарбаясгалангаас намын дэмжлэг хамгийн их авсан хүн бол Б.Энхбаяр байх шүү‼️
2027 оны сонгуулийн дараа Б.Энхбаяр У.Хүрэлсүх рүү учир зүггүй https://t.co/NE1Ifg7Xfd",2026-03-12 05:48:21+00:00,0,1
Baagij13310361,Л.ОЮУН-ЭРДЭНЭ: А.Амундраг Х.Баттулгад ажиллуулж болохгүй гэх чиглэлийг Ерөнхийлөгч У.Хүрэлсүх надад өгсөн учраас би зөвлөхөөрөө авч ажиллуулсан‼‼ https://t.co/VJVAE9K33N,2026-03-12 05:56:36+00:00,0,1
inews_mn,"Л.Оюун-Эрдэнэ бол МАН-ын залуучуудын төлөөлөл биш, төсөл юм https://t.co/74ICpz5vkz",2026-03-12 06:06:18+00:00,0,1
Amlalt_Mn,"Өргөсөн тангарагаасаа няцсан, хуралдаа суудаггүй, ёс зүйн доголдол удаа дараа гаргасан УИХ-ын гишүүнийг эгүүлэн татах нь парламентын дархлааг сулруулах үйлдэл үү?

Өчигдөр /2026.03.11/ үдэш Монгол Улсын Ерөнхий сайд асан Л.Оюун-Эрдэнэ өчигдөр NTV -ийн “Лхагвын тойм” шууд https://t.co/aGBmRKmMyU",2026-03-12 06:21:23+00:00,0,1
Baagij13310361,"Л.ОЮУН-ЭРДЭНЭ: Б.Баатарт ""Төрийн соёрхолт өгнө, гадаадын шагналд тодорхойлно"" гэж байсныг би уурлаж байж болиулсан‼️‼️
Дипломат харилцаа тогтоосны ойн хүрээнд ""Монгол хаан"" жүжгийг Лондонд тоглосон юм билээ‼️ https://t.co/c2bZHDNVPp",2026-03-12 07:13:56+00:00,0,1
ReelNewsmn,"Ерөнхий  сайд асан Л.Оюун-Эрдэнэ:МАН-ын даргад өрсөлдөх Д.Амарбаясгалангийн шийдвэр цэвэр өөрийнх нь. Ийм шийдвэр эрсдэлтэйг бид бүгд л хэлж байсан

Эх сурвалж: NTV ЛХАГВЫН ТОЙМ https://t.co/xHwim9loC0",2026-03-12 07:45:11+00:00,0,1
updown_mn,"Л.Оюун-Эрдэнэ ХЗДХ-ийн сайд Б.Энхбаярыг авлигын хэргээр шалгуулахаа мэдэгдэв 

 https://t.co/OG2VSn3HxZ

Ерөнхий сайд асан Л.Оюун-Эрдэнэ ХЗДХ-ийн сайд Б.Энхбаярыг ""Бодь"" группээс 500 мянган ам.доллар авсан хэргээр Авлигатай тэмцэх газарт шалгуулахаа мэдэгдлээ. Б.Энхбаяр уг https://t.co/uHpaujY6ng",2026-03-12 14:55:03+00:00,1,0
Samganeaaaa,@mongolianadam @grok Оюун-Эрдэнэ ерөнхий сайд байхад Монголын эдийн засаг 2 дахин өссөн үү ?,2026-03-12 14:42:28+00:00,0,0
iMementoMori,"тэгэхээр боловсрол гэж хүнд ямар чухал болохыг Сайханбилэг Оюун-Эрдэнэ 2ыг харьцуулаад ч болов олж харж чадаж буй бол бараг азтай зүйл шүү, тэнэг хүнээр ЕС хийлгэчхээд түүнийгээ өмөөрч суугаа бол өөрөө ч гэсэн боловсролын талаар эргэцүүлж сурах чиглэлийг эрхэм болгоход гэмгүй",2026-03-12 15:27:29+00:00,0,0
iMementoMori,"өнөөдөр Сайханбилэгийг Оюун-Эрдэнэтэй жишээд яриад байх юм, нэг нь муу ч гэсэн боловсролтой, нөгөөх нь Бэрс гээд нэг сургуульд ороод ч төгссөн юмгүй, төгссөн бол жүжигчин ч байх байсан юмуу тэмээ ямаа шиг ялгаатай 2 хүн харьцуулахаар Оюун-Эрдэнэ илт миа харагдах нь аргагүй ш",2026-03-12 15:25:13+00:00,0,0
enkhbatbyambats,"Оюун-Эрдэнэ гэж жиргээд хамгийн олон хандалт авсан 10 жиргээ. Гэхдээ миний database рүү татагдахаас 8 цагаас өмнө жиргэсэн жиргээнүүд ороогүй болно. 
@miigaasbntv
@iSee_MN
@newspressmn
@Baagij13310361
@dlobnag
@Javkhlanbyr
@Ariunq
@UBn_mn
@tegshzy
@Urantogtokh https://t.co/fWqeL1c6rN",2026-03-12 19:57:43+00:00,0,0
zamtradeco,"@soko_888 @8787ider Сайханбилэг хүүхэлдэйг тоох хүн цөөхөн байсан.
Оюун-Эрдэнэ бөмбөг тэсэлсэн учраас сайт нь шуургыг нь даахгүй.",2026-03-12 19:38:32+00:00,0,0
DarwinY38426,"@Uyanga_ts Бүтнэ үзэв. Л.Оюун-Эрдэнэ тун ирээдүйтэй улстөрч. Би малан монгол улстөрчдийг огт үнэлдэггүй. Гагц Х.Чойбалсан, Н.Энхбаяр, Х.Баттулга, Ц.Нямдорж, З.Энхболд нарыг үнэлдэг. Сүүлд С.Амарсайханыг нэмсэн. Сая Л.Оюун-Эрдэнийг нэмлээ. С.Амарсайхан, Л.Оюун-Эрдэнэ цуутай улстөрчид болно.",2026-03-12 12:32:11+00:00,0,0
TestT45749,"Нээрээ Л. Оюун Эрдэнэ хов ярьж, Ч.Сайханбилиг зорилго, гарц, гаргалгаа ярьлаа,  https://t.co/zn3QxofFwO",2026-03-12 13:02:40+00:00,0,0
Shuudmn,"Л.Оюун-Эрдэнэ: Дарга байхад Б.Энхбаяр бие ороогоод могой шиг ""Дарга аа"" гээд орж ирдэг.""Буудчих уу, жанжиан"" гэдэг шиг л нөхөр шүү дээ https://t.co/rSiwfIB9Fk",2026-03-12 10:41:56+00:00,0,0
Amlalt_Mn,"Ерөнхий сайд асан Л.Оюун-Эрдэнэ худал ярьсан уу??

Ерөнхий сайд асан Л.Оюун-Эрдэнэ худал ярьсан уу??
Монгол Улсын Ерөнхий сайдаар ажиллаж байсан хүний үг яриа хариуцлагатай гэж ойлгож байгаа. Гэтэл өчигдөр NTV телевизийн “Лхагвын тойм” шууд ярилцлагад орох үеэрээ Ерөнхийлөгч асан https://t.co/hwpt0jN1UR",2026-03-12 10:56:54+00:00,0,0
sbd37,"@DNN_MN Заль. Жоом шиг олон юм цуглачихна. Тэгээд нэг сэтгүүлч, нэг асуулт гэх үлгэр ярина. Тэгээд ямар ч үр дүнгүй, ямар ч хэрэгцээгүй чавганцын үгнээс доор юм асуух хэдэн новш нь хамаг цагийг нь барна. Оюун-Эрдэнэ, Лхагвадорж хоёр шиг 6 цаг суухгүй. Ямар ч үр дүнгүй хог болно...",2026-03-12 11:44:49+00:00,0,0
sbd37,"Заль. Жоом шиг олон юм цуглачихна. Тэгээд нэг сэтгүүлч, нэг асуулт гэх үлгэр ярина. Тэгээд ямар ч үр дүнгүй, ямар ч хэрэгцээгүй чавганцын үгнээс доор юм асуух хэдэн новш нь хамаг цагийг нь барна. Оюун-Эрдэнэ, Лхагвадорж хоёр шиг 6 цаг суухгүй. Ямар ч үр дүнгүй хог болно... https://t.co/OL8hdb1sSx",2026-03-12 11:44:56+00:00,0,0
Narantuya_P,"Л.Оюун-Эрдэнэ:
Яаж ч улс төржүүлсэн ТУУЛЫН ХУРДНЫ ЗАМАА бүү зогсоогоорой. 
Энэ зам ТҮГЖРЭЛИЙГ БҮРЭН ШИЙДНЭ ШҮҮ !!!",2026-03-12 11:53:17+00:00,0,0
iMementoMori,"12. Сайханбилэг сэтгүүлч
13. Эрдэнэбат эдийн засагч
14. Хүрэлсүх офицер
15. Оюун-Эрдэнэ жүжигчин боловсролгүй
16. Занданшатар эдийн засагч

7 эдийн засагч, 2 хуульч, 2 сэтгүүлч, 1 орчуулагч, 1 офицер, 1 инженер, 1 физикч, 1 боловсролгүй гар ЕС хийж улс орныг удирджээ.",2026-03-12 15:12:36+00:00,0,0
dorjimugi77,"СЭТГҮҮЛЧ: А.Амундра зугтчихсан байгаа⁉
Л.ОЮУН-ЭРДЭНЭ: Тийм ээ‼
СЭТГҮҮЛЧ: Хэн зугтаалгасан юм⁉
Л.ОЮУН-ЭРДЭНЭ: Би лав зугт гэж хэлээгүй‼",2026-03-12 08:20:56+00:00,1,0
Chadraa_Ts,"@News_mn @bayamongol АН хан юу ч дуу гарахгүй өдий хүрч хөлд нь сөхөрч сууж бсн биз дээ. Номт, Оюун-Эрдэнэ 2 л шүгэл үлээлээ.",2026-03-12 08:14:59+00:00,0,0
MnRecord,"Сэтгүүлч: Д.Амарбаясгалан нарыг МАН-аас хөөхөд та болон Ерөнхийлөгчийн тойрон хүрээлэгчид нөлөөлсөн гэж Л.Оюун-Эрдэнэ гишүүн хэлсэн?

Я.Содбаатар: Ерөнхийлөгч нам бус шүү дээ. МАН тусдаа шүү дээ https://t.co/vhU47TU8SX",2026-03-12 07:04:59+00:00,0,0
Urug_mn,"Л.Оюун-Эрдэнэ: Сэтгүүлч Н.Өнөрцэцэгийг барьж, хорих чиглэлийг Үндэсний аюулгүй байдлын зөвлөлөөс өгсөн. Энэ бол зөвхөн Г.Өнөрцэцэгийн кэйс ч биш үе үеийн ерөнхийлөгчийн үед байсан.
Энэ бол ""Хонгил""-ын нэг жишээ. Үндэсний аюулгүй байдал нэрийн дор Гүйцэтгэх засаглал дотор байдаг https://t.co/b0aW77Y3LX",2026-03-12 08:35:54+00:00,0,0
Baagij13310361,Л.Оюун-Эрдэнэ: Би орлогоо нотолж чадсан. Манай хүү сүйт бүсгүйдээ бөгж авч өгсөн нь үнэн. Харин цүнх авч өгөөгүй нь тогтоогдсон. https://t.co/wvyAkegfPS,2026-03-12 05:45:22+00:00,0,0
Baagij13310361,Л.Оюун-Эрдэнэ: Өнөрөөг хонгилдсон нь үнэн. Үндэсний аюулгүй байдлын зөвлөлөөс Н.Өнөрцэцэгийг хорих чиглэл өгсөн‼️ https://t.co/YHRcFHcJtc,2026-03-12 05:38:45+00:00,0,0
Elch_mn,Л.Оюун-Эрдэнэ: Өнөрөөг хонгилдсон нь үнэн. Үндэсний аюулгүй байдлын зөвлөлөөс Н.Өнөрцэцэгийг хорих чиглэл өгсөн https://t.co/PQUWQCfzdt,2026-03-12 05:32:41+00:00,1,0
newswirmongolia,"Бодь Интернэшнл: Ерөнхий сайд асан Л. Оюун-Эрдэнэ нүүрсний сонсголыг даргалагч болон бусад хүмүүст хандив, мөнгө өгсөн гэж илт худал мэдээлэл тараалаа https://t.co/heQ4Wpu0Pj",2026-03-12 05:23:22+00:00,0,0
Bolortat,Л.Оюун-Эрдэнэ: У.Хүрэлсүх даргаа галаар битгий тоглоорой. Миний ялалтаар баталгаажсан эрх мэдлээр оролдвол би үндэсний хэмжээний тэмцэлд уриална шүү! https://t.co/llhydSjKwf,2026-03-12 05:18:56+00:00,0,0
gorkibel,"Л.Оюун-Эрдэнэ: Х.Баттулгыг муулах гээд байгаа нөхөд чинь хэзээ ч уулзаж байгаагүй юм шиг урт хадагнууд бариад, Ерөнхийлөгчийн хөлийг үнсэх юу ч биш шүү. Ер нь таллаж хэвтээд, мөлхөж орж ирнэ шүү дээ‼️ https://t.co/YyMS143gpD",2026-03-12 05:09:15+00:00,0,0
